Surprise(%),cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,intangibleAssetsExcludingGoodwill,otherCurrentAssets,commonStock,costofGoodsAndServicesSold,otherNonOperatingIncome,changeInOperatingLiabilities,depreciationDepletionAndAmortization,changeInReceivables,changeInInventory,cashflowFromInvestment,cashflowFromFinancing,EPS Estimate,Shift_Reported_EPS
40.83,2802000000,6320000000,63000000,70000000,1000000,1067000000,-1000000,66000000,13000000,-45000000,0,286000000,-629000000,0.24,0.39
31.84,1988000000,5877000000,76000000,60000000,1000000,928000000,-4000000,166000000,15000000,237000000,34000000,262000000,-968000000,0.17,0.33
19.86,1989000000,6206000000,90000000,47000000,1000000,787000000,-18000000,-220000000,16000000,150000000,27000000,754000000,-813000000,0.16,0.23
19.62,1766000000,6798000000,104000000,62000000,1000000,870000000,-6000000,88000000,137000000,-7000000,114000000,-373000000,-522000000,0.21,0.2
47.27,1940000000,6671000000,120000000,64000000,1000000,821000000,-16000000,36000000,23000000,190000000,157000000,-327000000,1409000000,0.14,0.25
7.04,426000000,4879000000,138000000,64000000,1000000,602000000,0,21000000,25000000,121000000,127000000,-269000000,-52000000,0.09,0.21
3.85,547000000,547000000,155000000,66000000,1000000,554000000,-4000000,25000000,25000000,17000000,-23000000,176000000,-544000000,0.08,0.1
10.04,596000000,5037000000,166000000,67000000,1000000,610000000,3000000,-74000000,148000000,-31000000,-7000000,-213000000,-173000000,0.08,0.08
75.13,471000000,4728000000,172000000,73000000,1000000,571000000,3000000,-81000000,25000000,22000000,-17000000,-199000000,-20000000,0.06,0.09
67.92,435000000,4505000000,190000000,66000000,1000000,519000000,-1000000,56000000,26000000,59000000,3000000,247000000,-439000000,0.03,0.11
-7.32,464000000,4792000000,205000000,89000000,1000000,498000000,-1000000,-9000000,26000000,-18000000,-45000000,-235000000,-44000000,0.06,0.04
22.62,497000000,4623339000,222000000,91000000,1000000,550911000,0,-54439000,169532000,-89405000,75000000,-318000000,-23000000,0.07,0.06
8.79,395000000,4240797000,241301000,93679000,752000,548684000,0,50119000,26359000,92982000,21000000,-15000000,-321000000,0.07,0.09
9.17,515000000,4386054000,260613000,95430000,744000,483850000,-3000000,-48768000,26322000,73824000,-7000000,-64000000,-26000000,0.05,0.08
21.81,509000000,4347817000,277530000,99354000,743000,498585000,17000000,-14880000,26050000,-28077000,6000000,-330000000,-464000000,0.04,0.06
32.6,1152000000,4671810000,296012000,104252000,732000,524976000,5392000,17994000,185734000,-36658000,7178000,-1099659000,1288795000,0.05,0.05
2.52,562084000,3032954000,320589000,102346000,732000,469552000,-2707000,-1924000,19600000,-29465000,2544000,-187373000,-4179000,0.05,0.06
24.38,591321000,2935893000,322520000,104486000,726000,431700000,3257000,16649000,18600000,-71205000,6788000,711818000,-778389000,0.03,0.05
33.69,561423000,3713351000,336733000,107125000,725000,436171000,1058000,-53101000,17400000,108476000,-41510000,-230786000,-116227000,0.02,0.04
18.18,733000000,3727883000,312332000,107481000,720000,521300000,1136000,-38214000,126900000,227948000,167327000,-141436000,-102175000,0.06,0.03
11.67,525388000,3434772000,331248000,111499000,719000,567452000,-3290000,-16547000,17300000,210000,-41544000,-182799000,27084000,0.07,0.07
55.5,499618000,3278100000,346938000,116006000,713000,503551000,269000,32130000,17200000,-33849000,-44643000,-84703000,14300000,0.04,0.08
4.69,369135000,3130812000,363395000,118085000,707000,461513000,-929000,33516000,16600000,-75369000,-2191000,-335054000,45521000,0.02,0.06
0.44,667876000,3129576000,326136000,120332000,700000,463181000,1136000,26490000,150000000,-17402000,-58632000,-328495000,19037000,0.05,0.03
11.66,566816000,2748354000,342839000,2748354000,698000,509463000,3341000,17584000,5000000,48677000,41917000,-289145000,78930000,0.06,0.05
-0.26,532614000,2474496000,358136000,2474496000,691000,5000000,-1749000,-62106000,5000000,-63331000,33014000,-273218000,40178000,0.06,0.07
14.08,683633000,683633000,278761000,2726541000,688000,477536000,-3690000,53740000,47764000,5820000,-35183000,-252506000,98578000,0.05,0.06
45.35,665361000,2490563000,288745000,42092000,677000,460017000,4794000,-47918000,46393000,50908000,60874000,-309251000,88765000,0.04,0.06
6.02,451174000,1987220000,112642000,1987220000,671000,451850000,-4418000,45618000,46876000,-3374000,56032000,-163984000,25978000,0.04,0.06
-71.99,377003000,377003000,118879000,1772500000,665000,676916000,1355000,-84308000,46573000,133818000,-45962000,-119101000,14498000,0.03,0.04
-71.99,447262000,447262000,115423000,1764896000,663000,545436000,-2239000,16822000,47147000,-155011000,-56816000,-57342000,62780000,0.03,0.01
-71.99,447221000,1728227000,120458000,46966000,653000,543767000,2691000,22778000,47914000,23008000,-462385000,-283774000,47260000,0.03,0.01
-71.99,614490000,1634079000,127817000,1634079000,646000,511423000,-3082000,22778000,48770000,23008000,1165000,-95497000,44885000,0.03,0.01
